"symbol","windowStart","windowEnd","preds_json","time","diff","crns_pred","time","diff"
"TSLA","2021-11-05T02:58:00.000000000+0000","2021-11-05T04:58:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [394.58599853515625, 379.97064208984375, 365.3502197265625, 351.240478515625, 336.612060546875, 321.81744384765625, 307.1595764160156, 292.822998046875, 278.1676330566406, 264.1431884765625], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","394.58599853515625","1764938268168","1"
"TSLA","2021-11-05T03:13:00.000000000+0000","2021-11-05T05:13:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.6349182128906, 390.4676818847656, 379.9782409667969, 369.5951843261719, 358.9994201660156, 348.69830322265625, 338.175048828125, 327.5320739746094, 317.06390380859375, 306.8800964355469], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.6349182128906","1764938268168","1"
"TSLA","2021-11-05T03:17:00.000000000+0000","2021-11-05T05:17:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.9245910644531, 391.35498046875, 381.9998474121094, 372.8216247558594, 363.3836364746094, 354.0797119140625, 344.78887939453125, 335.39312744140625, 326.00042724609375, 316.7965393066406], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.9245910644531","1764938268168","1"
"TSLA","2021-11-05T03:58:00.000000000+0000","2021-11-05T05:58:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [405.24090576171875, 400.0415954589844, 394.81085205078125, 389.5396728515625, 384.05767822265625, 378.63873291015625, 373.2088317871094, 367.7168884277344, 362.20745849609375, 356.730224609375], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","405.24090576171875","1764938268168","1"
"TSLA","2021-11-05T02:43:00.000000000+0000","2021-11-05T04:43:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [401.3733825683594, 390.93084716796875, 380.6005554199219, 370.31951904296875, 359.75604248046875, 349.3483581542969, 338.63427734375, 327.8376770019531, 317.1828918457031, 306.6318664550781], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","401.3733825683594","1764938268168","1"
"TSLA","2021-11-05T02:49:00.000000000+0000","2021-11-05T04:49:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [391.3331298828125, 373.5296630859375, 355.6401672363281, 338.41571044921875, 320.3458251953125, 303.214599609375, 286.11956787109375, 269.2284240722656, 252.41342163085938, 236.63836669921875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","391.3331298828125","1764938268168","1"
"TSLA","2021-11-05T03:22:00.000000000+0000","2021-11-05T05:22:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [401.0911865234375, 392.1649475097656, 382.9969482421875, 373.5369873046875, 363.7926330566406, 353.7037658691406, 343.683349609375, 333.67193603515625, 323.489501953125, 313.4078063964844], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","401.0911865234375","1764938268168","1"
"TSLA","2021-11-05T04:02:00.000000000+0000","2021-11-05T06:02:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [403.0909118652344, 395.3429260253906, 387.6277160644531, 380.0577697753906, 372.2389831542969, 364.453125, 356.6321105957031, 348.73040771484375, 340.78802490234375, 332.8619689941406], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","403.0909118652344","1764938268168","1"
"TSLA","2021-11-05T03:23:00.000000000+0000","2021-11-05T05:23:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [398.83935546875, 388.037109375, 377.4871520996094, 367.14923095703125, 356.7462158203125, 346.4547119140625, 336.3333740234375, 326.2220153808594, 316.0469970703125, 306.2535705566406], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","398.83935546875","1764938268168","1"
"TSLA","2021-11-05T03:18:00.000000000+0000","2021-11-05T05:18:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [403.07708740234375, 395.2339782714844, 387.0724792480469, 378.79168701171875, 370.3239440917969, 361.37127685546875, 352.4372253417969, 343.51263427734375, 334.4361877441406, 325.5281982421875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","403.07708740234375","1764938268168","1"
